Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP59	1	4	1	18	1	20	276	-1	4
123_GH_VP59	1	-1	2	22	2	10	377	0	0
123_GH_VP59	0	4	3	27	2	15	376	1	4
123_GH_VP59	0	2	4	11	1	6	275	-2	-1
123_GH_VP59	0	-3	5	25	2	25	377	0	3
123_GH_VP59	0	3	6	16	1	10	277	-2	-4
123_GH_VP59	1	-3	7	24	2	20	376	1	-2
123_GH_VP59	0	-3	8	13	1	15	277	-2	2
123_GH_VP59	1	0	9	29	2	6	370	2	0
123_GH_VP59	-1	-4	10	16	1	10	277	-2	-3
123_GH_VP59	0	3	11	21	2	6	376	1	-1
123_GH_VP59	0	3	12	17	1	15	275	-3	0
123_GH_VP59	0	-3	13	26	2	10	370	3	1
123_GH_VP59	1	0	14	14	1	20	275	-3	-1
123_GH_VP59	1	4	15	23	2	15	370	3	-4
123_GH_VP59	1	-1	16	19	1	6	277	-1	2
123_GH_VP59	0	-4	17	28	2	20	377	1	2
123_GH_VP59	0	-2	18	12	1	10	276	-1	3
123_GH_VP59	0	1	1	22	2	10	377	1	-2
123_GH_VP59	1	4	2	11	1	6	275	-2	3
123_GH_VP59	-1	-2	3	15	1	25	276	-2	-3
123_GH_VP59	-1	4	4	18	1	20	276	-2	0
123_GH_VP59	1	-2	5	21	2	6	376	2	0
123_GH_VP59	1	0	6	29	2	6	370	2	-3
123_GH_VP59	1	3	7	24	2	20	376	2	0
123_GH_VP59	0	-1	8	13	1	15	277	0	0
123_GH_VP59	2	0	9	27	2	15	376	2	-1
123_GH_VP59	1	3	10	19	1	6	277	-1	4
123_GH_VP59	0	3	11	12	1	10	276	-3	-2
123_GH_VP59	1	-2	12	26	2	10	370	1	-1
123_GH_VP59	0	3	13	28	2	20	377	1	2
123_GH_VP59	1	0	14	17	1	15	275	-2	-4
123_GH_VP59	0	-4	15	21	2	6	376	0	0
123_GH_VP59	0	3	16	11	1	6	275	-2	2
123_GH_VP59	1	4	17	23	2	15	370	2	-3
123_GH_VP59	1	-4	18	14	1	20	275	-2	0
123_GH_VP59	1	3	1	14	1	20	275	-2	4
123_GH_VP59	1	2	2	11	1	6	275	-2	-2
123_GH_VP59	1	-3	3	29	2	6	370	2	-4
123_GH_VP59	1	4	4	18	1	20	276	-2	1
123_GH_VP59	1	-3	5	25	2	25	377	1	-3
123_GH_VP59	-2	1	6	16	1	10	277	-1	1
123_GH_VP59	1	4	7	24	2	20	376	1	0
123_GH_VP59	1	-3	8	13	1	15	277	-1	3
123_GH_VP59	1	2	9	27	2	15	376	2	4
123_GH_VP59	0	-4	10	19	1	6	277	1	-1
123_GH_VP59	0	3	11	12	1	10	276	-2	4
123_GH_VP59	1	-2	12	26	2	10	370	1	4
123_GH_VP59	1	4	13	28	2	20	377	1	-4
123_GH_VP59	0	-3	14	17	1	15	275	-2	1
123_GH_VP59	1	-1	15	21	2	6	376	3	3
123_GH_VP59	0	3	16	15	1	25	276	-2	3
123_GH_VP59	1	-3	17	23	2	15	370	0	2
123_GH_VP59	1	0	18	22	2	10	377	1	-1
