Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
73	-2	-2	1	18	1	20	276	-1	-2
73	2	-1	2	22	2	10	377	1	-3
73	2	2	3	27	2	15	376	1	2
73	-1	3	4	11	1	6	275	-2	3
73	1	4	5	25	2	25	377	1	2
73	-2	3	6	16	1	10	277	-1	3
73	1	0	7	24	2	20	376	1	2
73	-2	2	8	13	1	15	277	-2	-1
73	1	-4	9	29	2	6	370	2	4
73	-1	4	10	16	1	10	277	-2	1
73	1	-4	11	21	2	6	376	1	-4
73	-1	3	12	17	1	15	275	-1	0
73	1	2	13	26	2	10	370	1	0
73	-2	0	14	14	1	20	275	-1	-3
73	1	0	15	23	2	15	370	1	0
73	-1	3	16	19	1	6	277	-1	-4
73	1	-2	17	28	2	20	377	1	3
73	-2	3	18	12	1	10	276	-1	-2
73	1	-2	1	22	2	10	377	2	-1
73	-1	1	2	11	1	6	275	-1	-1
73	-2	0	3	15	1	25	276	-1	1
73	-1	-1	4	18	1	20	276	-1	1
73	1	0	5	21	2	6	376	1	1
73	0	0	6	29	2	6	370	1	0
73	1	-2	7	24	2	20	376	1	3
73	-1	0	8	13	1	15	277	-2	2
73	1	1	9	27	2	15	376	0	2
73	-1	-1	10	19	1	6	277	-1	-2
73	-1	-2	11	12	1	10	276	-1	-2
73	1	1	12	26	2	10	370	2	0
73	1	-1	13	28	2	20	377	2	3
73	-2	-1	14	17	1	15	275	-2	0
73	1	4	15	21	2	6	376	0	0
73	-1	2	16	11	1	6	275	-2	-2
73	1	2	17	23	2	15	370	2	0
73	-1	-2	18	14	1	20	275	-2	4
73	-2	-3	1	14	1	20	275	-2	-1
73	-2	3	2	11	1	6	275	-2	-2
73	1	-1	3	29	2	6	370	2	0
73	-2	1	4	18	1	20	276	-1	-4
73	1	-1	5	25	2	25	377	1	1
73	-1	-2	6	16	1	10	277	-1	-1
73	2	1	7	24	2	20	376	1	3
73	-1	3	8	13	1	15	277	-1	-2
73	0	-2	9	27	2	15	376	1	1
73	-1	1	10	19	1	6	277	-2	1
73	-1	-4	11	12	1	10	276	-1	2
73	2	-1	12	26	2	10	370	2	-4
73	1	-3	13	28	2	20	377	2	0
73	-1	-2	14	17	1	15	275	-2	3
73	1	1	15	21	2	6	376	1	3
73	-2	4	16	15	1	25	276	-2	4
73	2	-4	17	23	2	15	370	1	1
73	2	-2	18	22	2	10	377	2	-2
