Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
20	0	4	1	18	1	20	276	0	3
20	0	1	2	22	2	10	377	1	0
20	2	0	3	27	2	15	376	2	0
20	2	3	4	11	1	6	275	-1	3
20	0	-4	5	25	2	25	377	1	0
20	1	-3	6	16	1	10	277	-1	2
20	0	0	7	24	2	20	376	0	-3
20	0	3	8	13	1	15	277	-1	-4
20	0	3	9	29	2	6	370	-1	3
20	0	-1	10	16	1	10	277	-2	-4
20	0	0	11	21	2	6	376	-1	-3
20	0	2	12	17	1	15	275	-2	4
20	0	2	13	26	2	10	370	-1	-3
20	0	-4	14	14	1	20	275	-3	4
20	0	-3	15	23	2	15	370	-1	1
20	0	3	16	19	1	6	277	-3	-3
20	0	4	17	28	2	20	377	-1	-4
20	0	-4	18	12	1	10	276	-4	0
20	0	-3	1	22	2	10	377	-1	-2
20	0	-2	2	11	1	6	275	-3	-2
20	0	-2	3	15	1	25	276	-2	-2
20	0	4	4	18	1	20	276	-2	-3
20	0	3	5	21	2	6	376	0	-4
20	0	3	6	29	2	6	370	-1	3
20	0	-2	7	24	2	20	376	-1	1
20	0	2	8	13	1	15	277	-3	0
20	0	-2	9	27	2	15	376	-1	1
20	1	-2	10	19	1	6	277	-2	2
20	0	-3	11	12	1	10	276	-3	-2
20	0	4	12	26	2	10	370	0	4
20	1	3	13	28	2	20	377	0	1
20	0	0	14	17	1	15	275	-2	-1
20	0	-2	15	21	2	6	376	0	0
20	1	2	16	11	1	6	275	-3	1
20	0	-1	17	23	2	15	370	-1	-2
20	0	-4	18	14	1	20	275	-3	2
20	1	2	1	14	1	20	275	-2	3
20	0	-4	2	11	1	6	275	-2	1
20	0	-4	3	29	2	6	370	-1	-1
20	0	0	4	18	1	20	276	-2	-2
20	0	0	5	25	2	25	377	1	4
20	1	-3	6	16	1	10	277	-3	-1
20	0	0	7	24	2	20	376	1	-2
20	1	-1	8	13	1	15	277	-2	3
20	0	-3	9	27	2	15	376	0	2
20	-1	3	10	19	1	6	277	-3	-4
20	-1	0	11	12	1	10	276	-3	-1
20	0	4	12	26	2	10	370	0	-2
20	0	-4	13	28	2	20	377	-1	-1
20	-1	-4	14	17	1	15	275	-2	1
20	-1	0	15	21	2	6	376	-1	-2
20	0	2	16	15	1	25	276	-3	0
20	0	0	17	23	2	15	370	0	-2
20	0	-2	18	22	2	10	377	0	4
