Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
27	0	0	1	18	1	20	276	-2	-4
27	4	4	2	22	2	10	377	2	1
27	-2	-2	3	27	2	15	376	3	-3
27	1	1	4	11	1	6	275	-1	-4
27	-4	-4	5	25	2	25	377	4	1
27	1	1	6	16	1	10	277	-1	0
27	1	1	7	24	2	20	376	4	-1
27	4	4	8	13	1	15	277	0	2
27	1	1	9	29	2	6	370	4	1
27	0	0	10	16	1	10	277	0	4
27	1	1	11	21	2	6	376	4	-3
27	4	4	12	17	1	15	275	0	-3
27	2	-3	13	26	2	10	370	4	-3
27	-1	-1	14	14	1	20	275	0	3
27	3	3	15	23	2	15	370	4	-4
27	0	0	16	19	1	6	277	-1	0
27	-2	-2	17	28	2	20	377	4	-2
27	-3	-4	18	12	1	10	276	0	0
27	1	1	1	22	2	10	377	4	2
27	0	-4	2	11	1	6	275	-1	1
27	0	0	3	15	1	25	276	0	-4
27	2	2	4	18	1	20	276	0	4
27	-1	-2	5	21	2	6	376	4	3
27	3	3	6	29	2	6	370	3	0
27	-3	-3	7	24	2	20	376	4	4
27	-3	-3	8	13	1	15	277	0	1
27	4	4	9	27	2	15	376	4	4
27	2	2	10	19	1	6	277	0	3
27	-1	-1	11	12	1	10	276	-1	0
27	3	3	12	26	2	10	370	4	0
27	-1	-1	13	28	2	20	377	3	-4
27	0	0	14	17	1	15	275	-1	-2
27	-2	-2	15	21	2	6	376	4	3
27	3	3	16	11	1	6	275	0	3
27	-3	-3	17	23	2	15	370	3	-4
27	3	3	18	14	1	20	275	-1	2
27	-3	-3	1	14	1	20	275	-1	4
27	-3	-3	2	11	1	6	275	0	4
27	-1	-1	3	29	2	6	370	4	3
27	-4	-4	4	18	1	20	276	-1	1
27	1	1	5	25	2	25	377	3	2
27	0	0	6	16	1	10	277	-1	2
27	-1	-1	7	24	2	20	376	-1	-3
27	1	-2	8	13	1	15	277	-2	-1
27	3	3	9	27	2	15	376	2	-2
27	2	2	10	19	1	6	277	-2	-1
27	3	3	11	12	1	10	276	-2	1
27	3	3	12	26	2	10	370	2	4
27	0	0	13	28	2	20	377	2	3
27	3	3	14	17	1	15	275	-2	-4
27	3	3	15	21	2	6	376	2	-1
27	3	3	16	15	1	25	276	-1	-3
27	0	0	17	23	2	15	370	2	1
27	1	-2	18	22	2	10	377	2	-4
