Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
71	-1	2	1	18	1	20	276	-3	1
71	0	-1	2	22	2	10	377	1	0
71	0	-1	3	27	2	15	376	0	4
71	-1	3	4	11	1	6	275	-4	-1
71	0	-2	5	25	2	25	377	2	0
71	-1	3	6	16	1	10	277	-3	-3
71	0	1	7	24	2	20	376	0	2
71	-1	-3	8	13	1	15	277	-3	-1
71	0	1	9	29	2	6	370	0	4
71	-1	3	10	16	1	10	277	-3	4
71	0	-3	11	21	2	6	376	0	0
71	-1	0	12	17	1	15	275	-3	3
71	1	2	13	26	2	10	370	0	-2
71	-1	2	14	14	1	20	275	-3	2
71	0	-2	15	23	2	15	370	0	4
71	-1	3	16	19	1	6	277	-2	4
71	0	-2	17	28	2	20	377	2	2
71	-1	-4	18	12	1	10	276	-3	-1
71	0	-3	1	22	2	10	377	2	-3
71	-1	-4	2	11	1	6	275	-3	3
71	-1	4	3	15	1	25	276	-2	0
71	-1	0	4	18	1	20	276	-1	3
71	0	-2	5	21	2	6	376	1	1
71	0	2	6	29	2	6	370	0	0
71	1	-1	7	24	2	20	376	1	4
71	-1	-1	8	13	1	15	277	-2	3
71	1	-3	9	27	2	15	376	1	-1
71	-1	-2	10	19	1	6	277	-1	-2
71	-1	-4	11	12	1	10	276	-2	-2
71	1	4	12	26	2	10	370	0	-4
71	1	-4	13	28	2	20	377	2	-4
71	-1	-2	14	17	1	15	275	-3	4
71	1	0	15	21	2	6	376	1	-1
71	-1	-1	16	11	1	6	275	-2	-4
71	1	3	17	23	2	15	370	1	1
71	-1	4	18	14	1	20	275	-2	4
71	-1	-1	1	14	1	20	275	-2	0
71	-1	0	2	11	1	6	275	-2	4
71	1	0	3	29	2	6	370	0	1
71	-1	-4	4	18	1	20	276	-2	-3
71	1	-4	5	25	2	25	377	2	4
71	-1	-1	6	16	1	10	277	-1	0
71	0	1	7	24	2	20	376	0	-4
71	-1	4	8	13	1	15	277	-2	-3
71	1	-4	9	27	2	15	376	0	0
71	0	1	10	19	1	6	277	-1	-2
71	0	0	11	12	1	10	276	0	0
71	1	-4	12	26	2	10	370	1	4
71	0	-4	13	28	2	20	377	2	1
71	0	1	14	17	1	15	275	-2	1
71	0	3	15	21	2	6	376	1	1
71	-1	4	16	15	1	25	276	-1	4
71	1	3	17	23	2	15	370	1	-4
71	1	-1	18	22	2	10	377	2	1
